description,category,subcategory
kek secet recipe,wants,Food & Beverage
settle ptptn,needs,Financial Services
renew roatax  kedai runcit,needs,Financial Services
அரிசி (arisi),needs,Food & Beverage
cukai pendapatan lhdn,needs,Financial Services
மின்சாரம் (electric bill),needs,Financial Services
main game cash,wants,Entertainment
bayar sewa rumah lagi,needs,Financial Services
மின்சாரம் (electri bill)  online,needs,Financial Services
அரிசி (arisi) shah alam,needs,Food & Beverage
mekap watsons  bangsar,wants,Shopping
beli sabun basuh shah alam today,needs,Others
买菜 (mǎi cài),needs,Food & Beverage
bayar ptptn,needs,Financial Services
buy cooking oil,needs,Food & Beverage
makan kfc family jb,wants,Food & Beverage
insurans nyawa  pavilion baru,needs,Financial Services
tambang lrt kl,needs,Transportation
买药 (mǎi yào),needs,Others
gi pusing pusing,wants,Others
hiasan ruah,wants,Others
pump petrol  bangsar for mom,needs,Transportation
充值 (top up),needs,Telecommunication
做SPA,wants,Others
beli air boba monthly,wants,Food & Beverage
tpoup umobile,needs,Telecommunication
杂饭 (záfàn),needs,Food & Beverage
beli lauk kl now,needs,Food & Beverage
போன் பில் (phone bill) shah alam,needs,Telecommunication
shopping sogo,wants,Shopping
tiet flight urgent,wants,Others
bayar bil celcom,needs,Telecommunication
holiday trip,wants,Others
makan angin today,wants,Others
bil air syabas,needs,Financial Services
mobile data plan,needs,Telecommunication
langga netflix,wants,Entertainment
tuition fees  at mall for family,needs,Others
充值Touc n Go urgent,needs,Transportation
uniqlo haul,wants,Shopping
durian musnag king baru,wants,Food & Beverage
பெட்ரோல் (petrol) daamnsara baru,needs,Transportation
byaar sewa ghugi,needs,Financial Services
sayur manis,needs,Food & Beverage
买新衣服 (new clothes),wants,Shopping
还车贷 (huán chēdài)  at mall,needs,Financial Services
nambang bas,needs,Transportation
nambang bas for mom,needs,Transportation
bayar duit kereta  kedai runcit,needs,Financial Services
修车 (repair car) kl for family,needs,Transportation
pay digi bill shah alam,needs,Telecommunication
tapau nasi tomorrow,needs,Food & Beverage
shopping mall for family,wants,Shopping
genting highland trip klang,wants,Entertainment
kasut nike baru,wants,Shopping
plumbing repair yesterday,needs,Others
maka shellout,wants,Food & Beverage
nambang bas  online rm100,needs,Transportation
change engine oil,needs,Transportation
plumbing repair,needs,Others
tuakr tayar kereta,needs,Transportation
minum starbucks  kedai runcit,wants,Food & Beverage
tapau nasi kl,needs,Food & Beverage
tiket konsert,wants,Entertainment
பஸ் கட்டணம் (bus fare),needs,Transportation
parking ticket klang,needs,Transportation
付房租 (fù fángzū),needs,Financial Services
காய்கற (kaaigari),needs,Food & Beverage
data reload cheras,needs,Telecommunication
minum starbucks,wants,Food & Beverage
sushi king cheras,wants,Food & Beverage
grabfood delivery  at mall,wants,Food & Beverage
tiket bas rapid kl,needs,Transportation
买药 (mǎi yào) penang for mom,needs,Others
பீஸ்ஸ (pizza),wants,Food & Beverage
tambang lrt,needs,Transportation
toiletries klang,needs,Others
movie tickets,wants,Entertainment
pekena nasi kandaq  midvalley,wants,Food & Beverage
karaoke night,wants,Entertainment
mium starbucks,wants,Food & Beverage
电话费 (diànhuà fèi)  bangsar for family,needs,Telecommunication
beli beras 10kg urgent,needs,Food & Beverage
school fees,needs,Others
சினிமா (cinema),wants,Entertainment
beli baju raya,wants,Shopping
steam games,wants,Entertainment
topup touch n go,needs,Transportation
isi minyak keta,needs,Transportation
ubat klinik  midvalley,needs,Others
karaoke  midvalley baru,wants,Entertainment
makan angin today,wants,Others
tnb bill payment,needs,Financial Services
பால் (paal),needs,Food & Beverage
beli diamond mlbb,wants,Entertainment
skincare haul now,wants,Shopping
买奶茶 (boba),wants,Food & Beverage
பள்ளி கட்டணம (school fee),needs,Others
car detailing,wants,Others
tukar phone baru,wants,Shopping
ubat klinik,needs,Others
tnb bill payment,needs,Financial Services
isi minyak keta,needs,Transportation
beli baju ghalit now,wants,Shopping
bil internet  midvalley,needs,Telecommunication
tiket flight credit,wants,Others
chicken rice for lunch,needs,Food & Beverage
gym membership,wants,Others
tengok wayang,wants,Entertainment
insurans nyawa urgent,needs,Financial Services
去旅行 (travel)  at mall,wants,Others
bayar duit kereta,needs,Financial Services
充T值ouch n Go kl,needs,Transportation
beli jam tangan rm100,wants,Shopping
reload prepaid cash,needs,Telecommunication
chcken rice for lunch kl credit,needs,Food & Beverage
topup tepon cheras,needs,Telecommunication
kasut nike baru,wants,Shopping
tnb bill payment tomorrow,needs,Financial Services
klinik pane,needs,Others
milk powde baby,needs,Food & Beverage
鸡饭 (jīfàn),needs,Food & Beverage
minum starbucks rm100,wants,Food & Beverage
klinik panel tomorrow,needs,Others
学费 (xuéfèi) jb,needs,Others
main game  angsar lagi,wants,Entertainment
milk powder baby  online,needs,Food & Beverage
tukar phone baru,wants,Shopping
beli air boba,wants,Food & Beverage
topup touch n go  kedai runcit,needs,Transportation
durian musang king now,wants,Food & Beverage
buy groceries giant,needs,Food & Beverage
பிரியாணி (briyani specia)l penang,wants,Food & Beverage
makan angin  onine,wants,Others
இணையம் (internet)  online baru,needs,Telecommunication
spa apckage monthly,wants,Others
baskin robbins,wants,Food & Beverage
steam games baru,wants,Entertainment
beli sabun basuh onthly,needs,Others
minyak masak paket,needs,Food & Beverage
change engine oil,needs,Transportation
buy meicine now,needs,Others
lrt ticket monthly jb tomorrow,needs,Transportation
去云顶 (genting),wants,Entertainment
topup touch n go rm100,needs,Transportation
bayar maxis,needs,Telecommunication
renew roadtax,needs,Financial Services
bus fare shah alam rm50,needs,Transportation
bayar duit kereta,needs,Financial Services
pump petrol,needs,Transportation
tiket sunway lagoon damansara lagi,wants,Entertainment
renew roadtax,needs,Financial Services
basuh kereta polish,wants,Others
toiletries for family,needs,Others
gi pusing pusing,wants,Others
isi minyak kereta full,needs,Transportation
bus fare baru,needs,Transportation
holiday bali cheras,wants,Others
rload prepaid for mom,needs,Telecommunication
nambang bas  kedai runcit urgent,needs,Transportation
ubat klinik deposit,needs,Others
杂饭 (záfàn),needs,Food & Beverage
car service centre  kedai runcit,needs,Transportation
beli air boba shah alam,wants,Food & Beverage
bayar sewa rumah tomorrow,needs,Financial Services
pay water bill,needs,Financial Services
上网费 (shàngwǎng fèi),needs,Telecommunication
shopping sakan deposit,wants,Shopping
nangga wayang kl,wants,Entertainment
basuh kereta polish  online lagi,wants,Others
minyak masak paket,needs,Food & Beverage
netflix premium,wants,Entertainment
grab to work  bangsar,needs,Transportation
buy medicine,needs,Others
买奶茶 (boba) baru,wants,Food & Beverage
minum starbucks shah alam,wants,Food & Beverage
iphone 15 pro rm100,wants,Shopping
ubat gigi now,needs,Others
காய்கறி (kaaigari),needs,Food & Beverage
give parents oney,needs,Financial Services
bayar keta  pavilion lagi,needs,Financial Services
reload prepaid,needs,Telecommunication
holida bali,wants,Others
bil elektrik tnb,needs,Financial Services
kasut nike baru,wants,Shopping
holiday bali  at mall,wants,Others
settle ptptn,needs,Financial Services
mcdonalds set damansara,wants,Food & Beverage
sushi king,wants,Food & Beverage
网购 (online shopping),wants,Shopping
beli pampers anak baru,needs,Others
tukra tayar kereta tomorrow,needs,Transportation
reew roadtax,needs,Financial Services
korean bbq,wants,Food & Beverage
பால் (paal) rm100,needs,Food & Beverage
baya ptptn,needs,Financial Services
bil internet,needs,Telecommunication
new gadget,wants,Shopping
nambang bas,needs,Transportation
ubat klinik lagi,needs,Others
bil internet now,needs,Telecommunication
网购 (olnine shopping),wants,Shopping
car detailing,wants,Others
netfilx premium,wants,Entertainment
langga netflix for family,wants,Entertainment
鸡饭 (jīfàn),needs,Food & Beverage
change engine oil for family,needs,Transportation
மருத்துவர் (doctor),needs,Others
minyak masak pake cheras,needs,Food & Beverage
吃火锅 (hotpot)  pavilion monhly,wants,Food & Beverage
beli baju raya cheras,wants,Shopping
netflix bill rm10,wants,Entertainment
beli ubat demam,needs,Others
milk powder baby damansara,needs,Food & Beverage
handbag luxury shah alam rm100,wants,Shopping
holiday trip penang,wants,Others
bil internet,needs,Telecommunication
kredit telefon yesterday,needs,Telecommunication
beg tangan coach,wants,Shopping
sayur manis yesterday,needs,Food & Beverage
makan tengahari nasi campur,needs,Food & Beverage
topup umobile,needs,Telecommunication
பஸ் கட்டணம் (bus fare) now,needs,Transportation
电话费 (diànhuà fèi),needs,Telecommunication
beli lauk,needs,Food & Beverage
beli idin kl cash,needs,Food & Beverage
netflix premium damansara,wants,Entertainment
insurans nyawa  kedai runcit yesterday,needs,Financial Services
付过路费 (tol) for mom,needs,Transportation
bil air syabas,needs,Financial Services
grab to work,needs,Transportation
topup tepon,needs,Telecommunication
bayar duit kereta,needs,Financial Services
bayar sewa ghugi,needs,Financial Services
காய்கறி (kaaigari) ugent,needs,Food & Beverage
beli sabun basuh penang credit,needs,Others
போன் பில் (phone bill) damansara,needs,Telecommunication
付房租 (fù fángzū),needs,Financial Services
servis aircond,needs,Others
movie tickets rm50,wants,Entertainment
durian musang king now,wants,Food & Beverage
beli jam tangan,wants,Shopping
kredit telefon,needs,Telecommunication
付房租 (fù fángzū) today,needs,Financial Services
home decor,wants,Others
bil internet,needs,Telecommunication
hotel booking,wants,Others
பள்ளி கட்டணம் (school fee),needs,Others
bil internet baru,needs,Telecommunication
bayar hutang,needs,Financial Services
kasut nike baru,wants,Shopping
langgan netflix,wants,Entertainment
கார் பழுது (car repair) lagi,needs,Transportation
fancy dinner jb,wants,Food & Beverage
充值 (top up),needs,Telecommunication
servis aircond  bangsar,needs,Others
new gadget klang,wants,Shopping
makan wagyu for mom,wants,Food & Beverage
看电影 (movie) rm100,wants,Entertainment
买米 (mǎi mǐ),needs,Food & Beverage
学费 (xuéfèi) penang,needs,Others
tnb bill payment,needs,Financial Services
sabun basuh baju,needs,Others
充值Touch n Go,needs,Transportation
hiasan rumah  pavilion,wants,Others
bayar bil celcom,needs,Telecommunication
pergi bercuti langkawi,wants,Others
bread and eggs now,needs,Food & Beverage
gi pusing pusing kl,wants,Others
lrt ticket monthly cash,needs,Transportation
bayar hutang rm10,needs,Financial Services
shopee 11.11 lagi,wants,Shopping
steam games  kedai runcit,wants,Entertainment
stycation,wants,Others
buy medicine kl,needs,Others
tiket flight kl,wants,Others
skincare haul penang urgent,wants,Shopping
bayar hutang,needs,Financial Services
gi pusing pusing,wants,Others
holiday trip,wants,Others
付电费 (fù diànfèi),needs,Financial Services
tiket bas rapid tomorrow,needs,Transportation
கார் கடன் (car loan)  at mall,needs,Financial Services
tiket konsert  onine,wants,Entertainment
mekap watsos klang,wants,Shopping
makan angin,wants,Others
zakat fitra penang,needs,Financial Services
充值 (top up)  bangsar yesterday,needs,Telecommunication
看医生 (kàn yīshēng)  pavilion,needs,Others
mbaya aek urgent,needs,Financial Services
isi minyak motor,needs,Transportation
beli data shah alam,needs,Telecommunication
பால் (paal,needs,Food & Beverage
ubat klinik,needs,Others
买菜 (mǎi cài) monthly,needs,Food & Beverage
pay car loan lagi,needs,Financial Services
看医生 (kàn yīshnēg),needs,Others
鸡饭 (jīfàn) for family,needs,Food & Beverage
tengok wayang jb,wants,Entertainment
付电费 (fù diànfèi),needs,Financial Services
hotel mahal,wants,Others
give paents money baru,needs,Financial Services
uniqlo haul monthly,wants,Shopping
renew roadtax,needs,Financial Services
home decor,wants,Others
买新衣服 (new clothes),wants,Shopping
stabrucks coffee  kedai runcit,wants,Food & Beverage
mcdonalds set,wants,Food & Beverage
还车贷 (huán chēdài)  bangsar,needs,Financial Services
pay house rent,needs,Financial Services
பெட்ரோல் (petrol),needs,Transportation
nasi elmak biasa damansara,needs,Food & Beverage
makan angin,wants,Food & Beverage
amkan wagyu,wants,Food & Beverage
settle ptptn,needs,Financial Services
போன் பில் p(hone bill) yesterday,needs,Telecommunication
diapers and milk  bangsar today,needs,Others
netflix bill,wants,Entertainment
makan tengahari nasi campur damansara,needs,Food & Beverage
lrt ticket monthly,needs,Transportation
sushi king rm50,wants,Food & Beverage
give parents money jb,needs,Financial Services
change engine oil shah alam,needs,Transportation
new sneakers,wants,Shopping
starbucks coffee credit,wants,Food & Beverage
baya hutang,needs,Financial Services
minyak muto,needs,Transportation
买药 (mǎi yào) for family,needs,Others
bayar hutang,needs,Financial Services
karaoke night deposit,wants,Entertainment
bus fare shah alam,needs,Transportation
bil unif rumah,needs,Telecommunication
修车 (repair car),needs,Transportation
doctr visit,needs,Others
shopping sakan,wants,Shopping
karaoke night,wants,Entertainment
kek secret recipe deposit,wants,Food & Beverage
மருத்துவர் (doctor)  at mall,needs,Others
insurans nyawa,needs,Financial Services
holiday trip kl,wants,Others
bayar sewa rumah cheras,needs,Financial Services
சோறு (soru) baru,needs,Food & Beverage
change ngine oil,needs,Transportation
servis aircond,needs,Others
sayur mani,needs,Food & Beverage
topup touch n go,needs,Transportation
topup pubg damansara,wants,Entertainment
lunch economy rice rm10,needs,Food & Beverage
pekena nasi kandaq  kedai runcit,wants,Food & Beverage
